Command,Sensor Data,Experiment ID,timestamp
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G3'}","{'ch583': 6999, 'ch670': 7130, 'ch510': 4510, 'ch410': 607, 'ch620': 9349, 'ch470': 2999, 'ch550': 6094, 'ch440': 2680}",12def35b,38:58.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G4'}","{'ch583': 7417, 'ch670': 7525, 'ch510': 4778, 'ch410': 642, 'ch620': 9891, 'ch470': 3171, 'ch550': 6463, 'ch440': 2850}",494fd924,39:24.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G5'}","{'ch583': 7642, 'ch670': 7781, 'ch510': 4926, 'ch410': 667, 'ch620': 10231, 'ch470': 3281, 'ch550': 6671, 'ch440': 2941}",4233a5a6,39:50.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G6'}","{'ch583': 7713, 'ch670': 7865, 'ch510': 4974, 'ch410': 674, 'ch620': 10334, 'ch470': 3312, 'ch550': 6736, 'ch440': 2966}",9158fb1d,40:17.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G7'}","{'ch583': 7811, 'ch670': 7947, 'ch510': 5038, 'ch410': 683, 'ch620': 10460, 'ch470': 3357, 'ch550': 6829, 'ch440': 3011}",2e43467f,40:43.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G8'}","{'ch583': 7867, 'ch670': 7991, 'ch510': 5067, 'ch410': 688, 'ch620': 10534, 'ch470': 3378, 'ch550': 6875, 'ch440': 3025}",cef5c9bc,41:09.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G9'}","{'ch583': 8214, 'ch670': 8253, 'ch510': 5275, 'ch410': 717, 'ch620': 10948, 'ch470': 3506, 'ch550': 7176, 'ch440': 3162}",60f1ee27,41:36.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G10'}","{'ch583': 8161, 'ch670': 8216, 'ch510': 5223, 'ch410': 712, 'ch620': 10896, 'ch470': 3476, 'ch550': 7141, 'ch440': 3108}",51760848,42:02.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G11'}","{'ch583': 8399, 'ch670': 8388, 'ch510': 5335, 'ch410': 727, 'ch620': 11150, 'ch470': 3540, 'ch550': 7326, 'ch440': 3166}",b711d92c,42:28.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G12'}","{'ch583': 8897, 'ch670': 8752, 'ch510': 5592, 'ch410': 763, 'ch620': 11730, 'ch470': 3697, 'ch550': 7745, 'ch440': 3302}",1193a471,42:54.8
